anchor,positive
Don't drop that cup.,Don't drop that glass.
Tom found nothing.,Tom didn't find anything.
The sky above is so blue.,The sky above us is real blue.
They said that they felt tired.,They said they felt tired.
I can't imagine life on another planet.,I can't imagine what creatures living on another planet are like.
I don't like homework.,I hate homework.
I'll be there in 30 minutes.,I'll be there in thirty minutes.
The mischievous son loved his dad.,The mischievous little boy loved his dad very much.
The water pipes froze and then burst.,The water main froze and burst.
Don't let the fire die down.,Don't let the fire burn out.
Tom bought Mary a box of chocolates.,Tom bought a box of chocolates for Mary.
Maria took the eggs one after another from the egg carton.,"Maria took the eggs, one after another out of the egg carton."
"I am unintelligent, but at least I am intelligent enough to know it.","I'm not smart, but at least I'm smart enough to know it."
You must do it yourself.,Do it yourself.
Did Tom forgive you?,Has Tom forgiven you?
He made up his mind to go there.,He decided to go there.
"Last night, we looked at the stars from the rooftop.",Last night we were stargazing on the roof.
Tom cheated.,Tom was cheating.
Here is a basket full of vegetables.,Here's a basket full of fruit.
I don't like to make bets.,I don't like to argue.
Tom wasn't joking.,Tom wasn't kidding.
The meeting will be held tomorrow.,The meeting will take place tomorrow.
What is it that makes you think that way?,Where did you get the idea?
Tom hasn't done any work.,Tom didn't do any work.
He traveled on business.,He's away on business.
I don't know what we will do.,I don't know what we'll do.
A wall surrounded the old city.,The old city is surrounded by walls.
"Feeling chilly, I turned on the heater.","I got cold, so I turned on the heater."
I'm assuming you're Canadian.,I'm assuming that you're Canadian.
His biceps are huge.,His biceps are very big.
It's quite possible that that'll happen.,It's quite possible that'll happen.
Nobody's going to hurt you.,No one will harm you.
I knew that someone would come.,I knew that somebody would come.
My mother thinks of everything in terms of money.,My mother thinks that everything is a question of money.
We made mistakes.,We were incorrect.
Tom is a plumber.,Tom is a mechanic.
Tom might've followed me.,Tom could have followed me.
Can you recommend to me a place to stay in London?,Can you recommend a place for me to stay in London?
"You're staying with him, right?","You're staying with her, right?"
Why did you lie?,Why do you lie?
I found the diary that my father kept for 30 years.,I found my father's diary that he kept for 30 years.
Does it rain much in Germany?,Does it rain a lot in Germany?
Good always wins over evil.,Good always triumphs over evil.
That happens sometimes.,It happens occasionally.
We could hear the donnnng ... donnnng of the church bells nearby.,We could hear the bells ringing from a nearby church.
It's impossible to see all the sights in Rome in one day.,It's impossible to see Rome in a day.
I've got to get out of Boston.,I've got to leave Boston.
We still have many other things to discuss.,We still have a lot to discuss.
I saw a beautiful bird.,I saw an amazing bird.
Did you meet him recently?,Did you just get to know him?
I don't feel like working today.,I don't feel like studying at all tonight.
Every word is important.,Every word matters.
Both Tom and Mary saw it.,Tom and Mary both saw it.
Tom seemed to be motivated.,Tom seemed motivated.
Tom admitted that he'd been unfair.,Tom admitted that he hadn't been fair.
They said that they weren't busy.,They said they weren't busy.
"No matter how tired you are, you need to do that.",You need to do that no matter how tired you are.
Must I come home now?,Do I have to come home now?
They said that they felt humiliated.,They said they felt humiliated.
Whose shoes are these?,Whose are these shoes?
Trust in God.,Have faith in God.
I wonder how this works.,I wonder how that works.
I was never good at math.,Math was never my strength.
Do you get along well with your new classmates?,Are you getting along well with your new schoolmates?
Our school is in the center of the town.,Our school is in the middle of the city.
I like all kinds of movies except horror.,"When it comes to movies I like anything, as long as it's not horror."
He dared not jump over the brook.,He didn't dare to jump over the brook.
I would like you to post this letter.,I'd like you to mail this letter.
Tom still seems upset.,Tom still looks upset.
Do you know the difference?,Do you know what the difference is?
Summers are very hot in Kyoto.,It's hot in Kyoto in the summer.
They all sought for the lost child.,They all looked for the missing child.
I think it depends.,It depends.
I can understand you to some extent.,I understand you to a certain degree.
She likes Lake Mashuu.,She likes Lake Mashū.
Tom wrote a note to Mary.,Tom wrote Mary a note.
It's no use arguing with him.,It is no use trying to argue with him.
Tom says he isn't tired.,Tom says he's not tired.
Tom is here to help Mary.,Tom is there to help Mary.
Tom wasn't very angry.,Tom wasn't very mad.
Even Tom was crying.,Even Tom cried.
I know that both Tom and Mary have been arrested.,I know that Tom and Mary have both been arrested.
You should have gotten up earlier.,You should've gotten up earlier.
Things are changing quickly.,Things are changing rapidly.
Mennad sold bicycles.,Mennad sells bicycles.
He is a little high.,"He drunk wine, so he is slightly drunk."
Where is the mistake?,Where's the mistake?
Only if you come will she come to my birthday party.,"She'll only come to my birthday party if you'll come, too."
You would've loved the movie.,You would have loved the movie.
Will I be able to find it?,Can I find that?
Everybody's crying.,Everyone cries.
He is economically independent of his parents.,She is economically independent of her parents.
Why don't you put some clothes on?,Why don't you put on some clothes?
She will be a teacher.,She'll probably become a teacher.
I'm wondering what to cook for dinner.,What shall I cook for dinner?
I do not allow sleeping in class.,Sleeping in class is not allowed.
Why are people scared of him?,Why are people afraid of him?
I forgot to give you back your umbrella.,I forgot to return your umbrella to you.
What happened between you and Tom?,What's up with you and Tom?
Just say nothing.,Just don't say anything.
They said that they felt wronged.,They said they felt wronged.
Tom says he's not worried.,Tom says he isn't worried.
I never have trouble sleeping.,I never have trouble falling asleep.
You will speak Swedish.,You are going to speak Swedish.
When is she to go abroad?,When will she have to go abroad?
That doesn't sound good.,It doesn't look good.
I'm certain that Tom will win.,I'm positive Tom will win.
"Do you go by bus, by train, or by subway?","Do you go there by bus, train or the metro?"
I called Tom a cab.,I called a taxi for Tom.
You'd better not go out today.,It would be better if you didn't go outside today.
No one ran.,Nobody ran.
I like the way you treat me.,I love the way you take care of me.
We were watching the child at play.,We watched the children play.
We should not lose courage.,We shouldn't lose courage.
Where would I find CDs?,Where can I buy a CD?
Perhaps Tom hasn't done that.,Perhaps Tom didn't do that.
My parents didn't allow me to see Tom again.,My parents prohibited me from seeing Tom again.
There are a few problems.,There are some problems.
Here's a photo of her.,Here's a picture of him.
"With such friends, one needs no enemies.","With friends like that, who needs enemies?"
Tom's hyperventilating.,Tom is breathing hard.
They've released Tom.,They released Tom.
Tom came home early.,Tom is home early.
He had an accident at work.,She had an accident while working.
"Mr Yamada, you are wanted on the phone.","Mr Yamada, there's a call for you."
I'm no saint.,I'm not a saint.
Perhaps you should lie down.,Perhaps you should go to bed.
We learned how to pronounce Japanese.,We studied Japanese pronunciation.
I think Tom should've left earlier.,I think Tom should have left earlier.
You should probably tell Tom you don't want to do that.,You ought to tell Tom that you don't like doing that.
You kissed me very strongly.,I'm going to give you a strong kiss.
Tom says Mary couldn't do that.,Tom says Mary wasn't able to do that.
Tom and Mary are both vegetarians.,Both Tom and Mary are vegetarians.
We didn't find Tom.,We can't find Tom.
We are anxious about her health.,We're worried about your health.
I'd like to study French.,I'd like to learn French.
Tom may become jealous.,Tom may be jealous.
Tom pocketed the keys.,Tom put his keys in his pocket.
All the color drained away from his face.,His face turned pale.
It is not for beginners.,The guards are sacred and inviolable.
I should have said something.,I had to say something.
Tom got on the wrong train.,Tom took the wrong train.
How much cake is left?,How much pie is left?
Tom deserved a prize.,Tom deserved the prize.
Why did you lend Tom money?,Why did you lend money to Tom?
I don't think I'll win.,I don't think that I'll win.
"I tried walking without my cane, but I couldn't.","I tried to walk without my cane, but I wasn't able to."
He is now in the hospital and his life is in the balance.,Now he is in the hospital in critical condition.
Tom was sitting silent for half an hour.,Tom sat in silence for 30 minutes.
What'd you use?,What did you use?
He's accustomed to traveling.,He's used to traveling.
I travel often.,I often travel.
I should've studied French.,I should have studied French.
They grew closer.,They approached each other.
Have you got any plans?,Have you got plans?
She wrapped the present in paper.,She wrapped some gifts in paper.
Tom needed rest.,Tom needed to rest.
The girls began to laugh.,The girls laughed.
It was hard to obtain.,It was difficult to obtain.
The light became weaker and weaker.,The sunlight gradually decreased.
Tom asked me out.,Tom asked me out on a date.
He asked after you last night.,"Last night, he asked if you were well."
What is the letter about?,What were the contents of the letter?
I let him in the house.,I let her in the house.
Tom is in the kitchen preparing breakfast.,Tom is making breakfast in the kitchen.
The labor union called a strike.,The labor union announced a strike.
You shall have my car.,I'll give you my car.
He is devoid of common sense.,He has no common sense.
You liked chocolate.,You loved chocolate.
Could you solve the problem?,Can you do this problem?
Tom was irrational.,Tom was unreasonable.
I don't know whether he comes or not.,I don't know whether she will show up.
Tom is no longer a student.,Tom isn't a student anymore.
It's not so far-fetched.,It isn't so far-fetched.
I'm not like Tom!,You're different with Tom.
I know that Tom is self-conscious.,I know Tom is self-conscious.
She never married.,He never married.
My father sometimes goes abroad.,My father goes abroad sometimes.
They often say that life is short.,It is often said that life is short.
Tom will definitely help us.,Tom is definitely going to help us.
Everyone hates it.,Everybody hates it.
Would you please have a seat?,Could you please take a seat?
That's a beautiful dress.,Nice suit.
I was jumping.,I jumped.
I talk fast.,Speak fast.
I can come back if you want me to.,"If you want, I can come back."
He seems to have been happy.,He seems happy.
Will you stop saying that?,Could you please stop saying that?
What do you think of this book?,How was this book?
I want a lot more.,I want much more.
I prefer taking medicine rather than getting an injection.,I prefer to take medicine rather than getting a shot.
I like to eat out.,I like eating out.
This book is Ali's.,This is Ali's book.
Do your parents still let you do that?,Do your parents still allow you to do that?
What he's doing is illegal.,What he's doing is against the law.
Who do you plan to stay with?,Who do you plan on staying with?
Which are Tom's?,Which ones are Tom's?
Tom reassured Mary.,Tom comforted Mary.
Where does he work now?,Where is she working now?
"The Russians won, as everyone expected.","Like everyone expected, the Russians won."
I always knew you could do it.,I always knew that you could do that.
I really like this car.,I really like that car.
A small car is more economical than a large one.,A small car is cheaper than a big one.
She cut a cake in two.,She cut the cake in two.
Tom seems unsophisticated.,Tom seems naive.
I think it should've been discussed.,I think it should have been discussed.
It's a very complicated situation.,It's a very difficult situation.
He hanged himself.,He committed suicide by hanging himself.
"It's gotten dark. Is it going to rain, I wonder?",It's getting dark. I wonder if it's going to rain.
You can't give me orders.,You have no right to give me orders.
That's why I'm telling you not to go alone.,That's why I told you that you shouldn't go alone.
I forgot his address.,I forgot her address.
I should've told Tom.,I should have told Tom.
He hurried so as not to miss the train.,He hurried up so that he wouldn't miss the train.
I want to be near you.,I want to get closer to you.
He died at the age of seventy.,He died when he was seventy years old.
Everyone seems afraid.,Everybody seems afraid.
People are becoming more short-tempered and violent.,Humans are more and more angry and violent.
This shouldn't be this hard.,This shouldn't be so hard.
"It being very cold, they stayed at home.","It was very cold, so they stayed at home."
I put my hat on.,I put on my hat.
What's your secret?,"So, what's your secret?"
Japan is the best country under the sun.,Japan is the best country in the world.
I ended your sleep.,I woke you up.
Tom would like to know what's going to happen.,Tom wants to know what'll happen.
"I can say this now, but for a while I hated your guts.","I can say that now, but a little while ago I hated you."
Has the flat got three bedrooms?,There are three rooms in the apartment?
Tom wasn't able to buy what he needed.,Tom couldn't buy what he needed.
"Next time, I'll do it myself.",Next time I will do it myself.
This is not a tiger.,That isn't a tiger.
You might as well chew your food well.,You should chew your food well.
I really like city life.,City life suits me very well.
How was your summer?,How did you spend your summer?
The cat ate the mouse.,The cat is eating the mouse.
Tom isn't much of a singer.,Tom doesn't sing very well.
We aren't always right.,We're not always right.
I said I'll get it.,I said I'd get it.
Do you think Tom will be able to help us?,Do you think Tom can help us?
It was impossible for the boy to swim across that river.,It wasn't possible for the boy to swim across the river.
I sent it by post.,I've sent it by Post.
Her application for leave was refused.,Her leave request was denied.
Could I ask you to wait until tomorrow morning?,Could you do me a favor and wait until tomorrow morning?
The phone stopped working.,The phone's stopped working.
They wished that they hadn't looked.,They wished they hadn't looked.
You're humming.,You are humming.
I can't wait to get home.,I'm looking forward to going home.
Mind over matter.,Positive feelings grant good health.
This is the reason why he did it.,That's why he did it.
Tom said he's discouraged.,Tom said that he was discouraged.
The baby was sound asleep in her mother's arms.,The baby was sleeping soundly in his mother's arms.
He didn't know what hit him.,She didn't know what hit her.
He gave me a hug.,He wrapped his arms around me.
Why aren't you wearing any clothes?,Why don't you have any clothes on?
Change your clothes.,Go get changed.
I tortured the prisoners.,I was torturing the prisoners.
Tom sold Mary his car.,Tom sold his car to Mary.
The bathroom was not very clean.,The bathroom wasn't very clean.
Tom said that I looked awful.,Tom said I looked horrible.
Tell him your theory.,Tell her your theory.
It is dangerous to jump into a moving train.,It's dangerous to jump off a moving train.
Tom's children must be missing him.,Tom's children must miss him.
Maybe it's real.,Perhaps it's real.
I'm worried that he'll get lost.,I'm worried he'll get lost.
Tom tossed the keys to Mary.,Tom tossed Mary the keys.
It seems that he is wrong.,It appears that he is mistaken.
She is busy at present and can't speak to you.,She is busy right now and she can't speak with you.
You have good reason to be angry.,You have every right to be mad.
I didn't bargain for Mary's coming so soon.,I didn't expect that Mary would come so soon.
Do they pay you well?,Are you paid well?
Will you swim?,Are you going to go swimming?
I could help.,I could have helped.
He hurried so as to be in time for the train.,He hurried to catch the train.
He touched me so much.,That moved me deeply.
Where did Tom get his money?,Where did Tom get the money?
She is rough in speech.,She uses rude words.
Don't harass them.,Don't disturb them.
I need a change.,I need a change of scenery.
Rub my shoulders.,Rub my back.
Tom went off in a hurry.,Tom went out in a hurry.
I want to see you laugh.,I didn't do that for Tom.
Despite being small you are of great value.,Small pots have long handles.
You have the wrong number.,I'm afraid you have got the wrong number.
Tom seems different today.,Tom looks different today.
We must follow the rules of the game.,We should play by the rules.
I'll go ask Tom.,I'd ask Tom.
I would sooner stay than go.,I'd rather stay than go.
Don't forget smoking is bad for your health.,Don't forget that smoking is dangerous to your health.
His sister is a real beauty.,His sister is very beautiful.
Tom said he's unafraid.,Tom said that he was unafraid.
How am I going to do that?,How do you want me to do that?
Please reply by return.,Please reply as soon as possible.
I think Tom won't be embarrassed.,I don't think Tom will be embarrassed.
Tom started banging on the door.,Tom started pounding on the door.
They came to terms with their enemy.,They finally made peace with the enemy.
Why would Tom be here?,Why would Tom have been here?
Are you going to go on holiday this year?,Will you be taking a holiday this year?
Aren't you studying French?,Aren't you learning French?
"Yeah, right, he'll mend his ways. When Hell freezes over.","Yeah, right, he'll get his act together. When pigs fly."
Tom sat by the window.,Tom sat near the window.
Is all your money in the bank?,Have you put all your savings in the bank?
Can you operate a manual transmission?,Can you drive a manual transmission?
I chuckled.,I giggled.
You're a little rascal!,You're a scamp!
It was not Tom's proudest moment.,It wasn't Tom's proudest moment.
He is quick to learn.,He learns fast.
I don't like being laughed at.,I don't like people laughing at me.
The ticket is valid to April 29.,That ticket is good until April 29th.
Tom has a veterinary background.,Tom has experience as a veterinarian.
Tom gave me that book.,Tom gave me this book.
We don't have any more bread.,We don't have any bread left.
I never would've hurt you.,I never would have hurt you.
I never knew my parents.,I have never known my real parents.
Give me chapter and verse.,Tell me everything about it.
You didn't write anything.,You didn't put anything.
He is said to be a good doctor.,They say he's a good doctor.
How late can I ring?,Until what time can I call you on the phone?
I had a good reason to do that.,I had good reasons to do that.
Where do I go after I pick up my baggage?,Where should I go with my suitcase?
Someone has died.,Somebody has died.
Tom is always postponing things.,Tom is always putting things off.
It's not that strange.,It isn't that strange.
I know this will be difficult.,I know it'll be difficult.
I feel your pain.,I feel their pain.
I arrived on Monday.,I came on Monday.
He's putting on airs.,He puts on airs.
Tom looked a little worried.,Tom seemed somewhat anxious.
You mustn't use my pen.,I will not allow you to use my pen.
I want another beer.,I'd like another beer.
Did you see anybody?,Did you see anyone?
Every other day he goes fishing.,He goes fishing every other day.
Carrà doesn't get his irony.,Carrà doesn't get her irony.
Why don't you buy Tom a violin?,Why don't you buy a violin for Tom?
The bridge is built of wood.,This bridge is made of wood.
Let's go to the picnic.,Why don't we go to the picnic?
Tom is a lot stronger than I am.,Tom is much stronger than me.
That's their problem.,This is their problem.
The President is to make a statement tomorrow.,The president will issue a statement tomorrow.
Are you all right now?,Do you feel any better today?
He cannot be older than I.,He can't be older than I am.
She said that she'd call tomorrow.,She said she'd call tomorrow.
I've always respected him.,I've always respected her.
Cheese doesn't digest easily.,Cheese isn't easy to digest.
We'll be rescued.,We're going to be rescued.
In Hawaii you can swim in the sea all year.,"In Hawaii, you can cruise all year round."
The decision rests with him.,The decision belongs to him.
Tom bought a camera for three hundred dollars.,Tom bought a camera for $300.
There's no wine in that bottle.,There's no wine in the bottle.
Why won't you talk to me?,Why aren't you talking to me?
I had to let him win.,I had to let her win.
What did you just say to Tom?,What did you just tell Tom?
Give me that weapon.,Give me that gun.
That man is in love with my sister.,This man loves my sister.
You let him down.,You let her down.
"As a matter of fact, it is true.",That’s actually the truth.
All boys like to play baseball.,All men play baseball.
She can only trust him.,He's the only person she can trust.
Do you see much of Tom?,Do you see Tom often?
"He said he was sick, which was a lie.","He said that he was sick, and this was a lie."
I don't think I can do that.,I don't think I could ever do that.
What was in it for you?,What did you find in there?
We'll meet him later.,We'll meet her later.
Tom kept running.,Tom just kept running.
John belongs to the swimming club.,John is a member of the swimming club.
I hope this isn't true.,I hope this is not true.
Tell them this is urgent.,Tell them it's urgent.
I wish I had much money.,I want to have a lot of money.
He apologized to me for his rudeness.,He apologized for his rudeness.
You're much taller than Tom is.,You're a lot taller than Tom.
She stayed in the house all day.,She stayed at home all day.
Everyone paid for his own meal.,Everyone paid for their own meal.
My legs still hurt.,My leg is still hurting.
Keep as many as you need.,Grab as much as you need.
"Being an anglophone is a double-edged sword. On one hand, you speak perfectly the world's most useful language. But on the other, no one wants to speak anything else with you - making foreign language acquisition difficult.","Being an anglophone is a double-edged sword. On the one hand you speak the world's most useful language perfectly, but then no one wants to talk with you in another language, which makes the process of learning foreign languages more difficult."
The river's water level has risen.,The level of water in the river has risen.
The hike will take no less than eight hours.,The hike will take at least eight hours.
I need to pick out a Purim costume.,I need to choose a costume for Purim.
Do you love me?,Do you fancy me?
It did not end well.,It didn't end well.
The child pretended that it was asleep.,The child is pretending to be asleep.
Mary is homophobic.,Mary's homophobic.
It's midnight already.,It's already midnight.
I bought my sister a new hat.,I bought a new hat for my sister.
A girl phoned me.,There was a phone call from a girl.
I am a Berliner.,I'm a Berliner.
A true gentleman would not betray his friends.,A true gentleman never betrays his friends.
My surname is Zhou.,My name is Shu.
Just do what you usually do.,Just do what you normally do.
I don't want to get involved in that business.,I don't want to be involved in this affair.
"In all likelihood, we shall be away for a few days.",We'll probably be away for a few days.
What lovely puppies they are!,What adorable puppies!
Tom has a short fuse.,Tom has a very quick temper.
Mondays are open mike nights.,Mondays are open mic nights.
He will not go.,You're not going.
We don't like it.,We don't like them.
Tom was the star of the show.,Tom was the life of the party.
Tom is very energetic.,Tom is very lively.
I'm not arresting her.,I'm not putting you under arrest.
We should've brought a flashlight.,We should have brought a flashlight.
I didn't think anybody was satisfied.,I didn't think anyone was satisfied.
Pains of love be sweeter far / Than all other pleasures are.,The pain you go through because of love is by far sweeter than any other pleasure.
I wish you could've seen Tom.,I wish you could have seen Tom.
I gave some books to Tom.,I gave Tom some books.
She is certainly above forty.,She is certainly over forty.
"He declined my request, saying that he was busy.","He said no, he was busy."
Tom says he's planning on going to Australia with Mary.,Tom says that he's planning to go to Australia with Mary.
Tom is inconsistent.,Tom is inarticulate.
"Congratulations, buddy.","Congrats, buddy."
She is married to an American.,Her husband is American.
Red wine goes well with meat.,The red wine pairs well with the meat.
He watched the horse racing through his binoculars.,He watched the horse race with his binoculars.
Tom is on the phone talking to Mary.,Tom is talking to Mary on the phone.
She answered with tears.,She answered in tears.
Mars is the Red Planet.,Mars is a red planet.
The movie is X-rated.,This is a blue movie.
I've been to Boston once.,I've been to Boston one time.
I like playing the piano.,I like to play the piano.
The leaves fell.,The tree's leaves have all fallen.
Where is my scooter?,Where is my kick scooter?
I don't know what Tom wants to do.,I have no idea what Tom intends to do.
Can we talk about this tomorrow?,Can we talk about it tomorrow?
Tom and I've just gotten back from Australia.,Tom and I've just returned from Australia.
"I live in Boston in America right now, but I plan on going back to Japan later this year.","I now live in Boston in the US, but I plan to go back to Japan before the end of the year."
The price of this book has been reduced by half.,The value of this book has been halved.
Let me in under your umbrella.,Let me under your umbrella.
Tom looked very upset.,Tom seemed very sad.
Do you think that's true?,Do you think it's true?
Who did you write a letter to?,To whom did you write the letter?
I'm surprised by her lack of responsability.,His irresponsibility astounds me.
Have you reached Tom yet?,Have you been able to contact Tom?
Does this building have an elevator?,Is there an elevator in this building?
He stopped reading the newspaper.,He stopped reading newspapers.
Tom has been dead for three years.,Tom passed away three years ago.
"Speak more slowly, please!","Speak more quietly, please."
They stopped running.,They stopped walking.
I don't know anyone named Tom.,I don't know anybody named Tom.
Tom doesn't like to eat fish.,Tom doesn't like eating fish.
I'm here now.,I am here now.
I'll pay for your lunch today.,Today I'm paying for your lunch.
Tom didn't know what to do.,Tom wasn't sure what to do.
Tom is drinking milk.,Tom drinks milk.
Tom is clearly upset.,Tom is obviously upset.
She got her belly button pierced.,She got her navel pierced.
An opportunity like this must be seized!,One should not miss such a chance!
She looks like a Russian.,It looks like she's Russian.
We don't allow Tom to do that.,We don't let Tom do that.
One of my bags is missing.,One of my suitcases is missing.
I'm almost certain that that's not the case.,I'm almost certain that isn't the case.
He is a fast runner.,He is a quick walker.
Love and Peace.,Peace and love.
"While Tom was looking through the window, a shooting star fell from the sky.",While Tom looked out the window a shooting star crossed the sky.
I can speak neither French nor German.,I can't speak French or German.
Tom is shorter than me.,Tom is shorter than I am.
I'm good at singing.,I can sing well.
I think it might not be possible to do that.,I think it might be impossible to do that.
He is drawing a picture.,He is painting a picture.
You could've been hurt.,You could have been hurt.
I didn't hand out anything.,I didn't spend anything.
"Who'll do that tomorrow, I wonder.",I wonder who'll do that tomorrow.
I was hoping Tom would win.,I hoped Tom would win.
I need him to understand.,I need her to understand.
Tom said that I was beautiful.,Tom said I was beautiful.
Tom felt somebody touch his shoulder.,Tom felt someone touch his shoulder.
He was admitted without sitting for an examination.,He was admitted without taking the exam.
We Japanese live on rice.,"We, the Japanese, now feed ourselves with rice."
Tom's starting to go bald.,Tom is beginning to lose his hair.
School begins at eight-thirty.,School begins at half past eight.
Tom should've paged Mary.,Tom should have paid Mary.
Tom and Mary were also injured.,"Tom and Mary were injured, too."
We could've managed.,We could have managed.
My sister is twenty-one years old and a college student.,My sister is a twenty-one years old college student.
Tom didn't go to Boston.,Tom hasn't been to Boston.
Envy is the companion of honour.,The nail that sticks up gets hammered down.
She made a polite bow to me.,She bowed to me politely.
I'll never drink alcohol again.,I'm never going to drink again.
Tom lost his flashlight yesterday.,Tom lost his torch yesterday.
Is anybody afraid?,Is anyone afraid?
Tom tried to break down the door.,Tom tried to break the door down.
Tom likes me.,Tom loves me.
He is not so tall.,He isn't so tall.
I know Tom likes you.,I know that Tom loves you.
I feel kind of sick.,I feel slightly sick.
The telephone is one wonderful device.,The telephone is just a wonderful device.
Do you want to see some magic?,Want to see a magic trick?
Why did you stop only the foreigners?,Why did you only stop the foreigners?
I'll protect Tom.,I will defend Tom.
You screwed her?,Did you sleep with that woman?
I already said I don't know how to do that.,I've already said I don't know how one does it.
I burned my hand with an iron.,I was burnt by the iron.
She and I have nothing in common.,We had nothing in common.
Tom will never allow you to go.,Tom is never going to allow you to go.
I also like cake.,I also like cakes.
I did not want to alarm you.,I didn't want to surprise you.
Everyone wins.,Everybody's a winner.
He didn't believe it at first.,"At the beginning, he didn't believe it at all."
I know how to count to 100.,I can count to a hundred.
I don't think that'll ever happen.,I don't think that will ever happen.
I want to emphasize this point in particular.,I would like to place particular emphasis on this point.
That's not available.,That isn't available.
"During summers, I used to go to Miami.",I always went to Miami in the summer.
"Next year, hats will become fashionable.",Hats should be popular next year.
We haven't received the telegram.,We haven't received a telegram.
The patient suffers from hallucinations.,The patient is hallucinating.
He's very lonely.,She's very lonely.
My sisters were cooking when I came home.,"Upon coming home, I found my sisters cooking."
The motor overheats.,The engine is overheating.
I don't read.,I do not read.
There is no anwser for your question.,There is not an answer to your question.
"When times are tough, you find out who your friends are.",You find out who your friends are when times are tough.
I felt much relieved to hear the news.,I felt very relieved when I heard the news.
A day has twenty-four hours.,There are twenty-four hours in a day.
I'm not sure anything happened.,I'm not sure that anything happened.
You played hooky yesterday?,Did you play hooky yesterday?
I am looking for a cheap hotel.,I'm looking for an inexpensive hotel.
Not a little money was lost.,A large sum of money was lost.
I know many things.,I know a lot.
My bicycle is in need of repair.,My bicycle needs fixing.
Go when you want.,Please go at the most convenient time for you.
Vulcans have pointy ears.,Vulcans have pointed ears.
Many people drink water out of the kitchen faucet.,Many people drink water from the kitchen tap.
The dog ate my shoe.,The dog chewed up my boot.
Every man has his price.,There's no such thing as a free lunch.
He was disappointed that things didn't turn out as he'd hoped.,He was disappointed that his expectations were not met.
He's proud of being good at mathematics.,He's proud of his math skills.
Traveling by boat takes longer than going by car.,A trip by boat takes more time than one by car.
Tom said he's unconvinced.,Tom said that he's unconvinced.
Betty killed everyone.,Betty killed them all.
I'm chubby.,I'm a little overweight.
She told her story in tears.,He told his story in tears.
Both Tom and Mary know this.,Tom and Mary both know this.
I know it's my fault.,I do know this is my own fault.
Has anyone told Tom?,Has anybody told Tom?
She was only too glad to help us.,She helped me willingly.
Did you know Tom had a son?,Did you (f.) know that Tom has (/had) a kid?
Give me back the TV remote.,Hand me the remote.
What are you doing after work?,What do you do after work?
They saw him throw garbage into forest.,He was seen to throw garbage into forest.
Things are looking up.,The situation is improving.
Haven't you ever thought of doing that?,Have you ever considered doing that?
The coffee's on me.,The coffee is on me.
How can I thank you?,How can I ever thank you?
I wonder where she lives.,Where exactly do you live?
I eat noodles.,I am eating noodles.
Why don't you say it?,Just say the word.
Are you now married?,Did you get married yet?
"No, and it is also not under the chair.","No, and it's not under the chair either."
What do you say to eating out tonight?,It is all right to eat out tonight?
You're the last hope for humanity.,You are mankind's last hope.
Why do you dislike his way of speaking?,Why don't you like the way you speak?
Keep searching.,Keep looking.
How silly of me!,What a fool I was!
A trip to Hawaii will cost you about 200 dollars.,A trip to Hawaii costs around 200 dollars.
I would never kill myself.,I'd never commit suicide.
Here is my album.,My album is here.
You should have introduced yourself.,You should introduce yourself.
Tom's cat is sick.,Tom's tomcat is sick.
Where does that bus go?,Where does this bus take you?
You'll be all right again in a couple of days.,You'll get better in a few days.
They're not happy.,They are not happy.
Both he and his sister are invited to the party.,"He, as well as his sister, are invited to the party."
Is Tom smarter than you?,Is Tom more intelligent than you?
Is this your briefcase?,Is this your bag?
None of us are against his idea.,None of us are opposed to his ideas.
I want to cut down on the time it takes to process records.,I want to reduce the time it takes to deal with the paperwork.
That's a pretty dress you have on.,What a beautiful dress!
Croatia is in the southeastern part of Europe.,Croatia is a country in southeastern Europe.
Tom told us what had happened.,Tom told us what happened.
He seems kind.,He has a good sense of feeling.
It was one of the best experiences of my life.,That is one of my best time in my life.
"Mencius said, 'A great man is the one who does not lose his heart of a child.'",The great one always has a pure heart.
"Yes, it is. There's a lot of moisture in the air.",Yes. The air is very humid.
Go to the doctor to get your prescription!,"To get a prescription, go to a doctor."
Get into your pajamas.,Put on your pajamas.
I love Australia.,I like Australia.
Tom never showed up.,Tom never arrived.
I got you some water.,I got him some water.
Tom doesn't plan on being there.,Tom doesn't plan to be there.
Don't tell my wife.,Don't tell that to my wife.
Why don't you mind your own business?,Why don't you tend to your own affairs?
I thought we'd have breakfast together.,I thought we would have breakfast together.
When did you get a motorcycle?,So when did you buy yourself a motorcycle?
I must wait here.,I have to stay.
Remember what I said to you yesterday.,Remember what I told you yesterday.
I like to argue.,I love debating.
Playing baseball is fun.,It's fun to play baseball.
"If it’s sold out, then just forget it.","If it's sold out, just forget about it."
"If you had not helped me, I would have failed.","If you hadn't helped me, I would've failed."
Tom will bring help.,Tom is going to bring help.
Is there an app for that?,Is there any app for that?
Tell me why she is crying.,Tell me why she's crying.
I got in the cab.,I got into the cab.
I didn't think that I'd so have much fun doing that.,I didn't think I'd have so much fun doing that.
It's a fungus.,It's a mushroom.
My children are still awake.,My children are not sleeping yet.
A car is in the street.,A car is on the street.
She's also a beauty.,"She's beautiful, too."
All of you are welcome to bring your spouses to my party.,All of you are welcome to attend my party along with your spouses.
Have you learned cooking or anything?,Have you studied cooking or something?
