anchor,positive,negative
i wanted to have kids but recently divorced so now single .,i am single .,i am divorced and looking to date .
yum . they call me the vegetarian veterinarian was an actress but went back to school .,i used to work as an actress .,i was a slave for 10 years .
"oh , exciting ! maybe my newspaper will write about it !",i work for a newspaper .,i work at a spanish fast food restaurant studying friend food .
"yes it is , i listen to bruno mars on my runs keeps me moving .",my favorite musician is bruno mars .,my favorite singer is justin timberlake .
"i am a trooper , for michigan state , so watch out !",i am a michigan state trooper .,i make robots for a living .
she actually was a high school teacher . very strict while i was growing up .,i teach a yoga class .,i am a humble baker .
my brothers wife has tanked .,i live with my parents and my little brother .,i do not have any siblings .
new york state . i live there with my kids and husband .,i reside with the love of my life and our kids .,i will be moving to san diego in two months .
i like to skate my blonde hair looks so good in the wind .,i have blonde hair .,my hair is brown and curly .
no i would rather eat pasta if you want .,my favorite food is pasta .,my favorite food is steak .
i am a musician .,i am a musician with a day job .,i work as a dental assistant in a ritzy part of town .
doing ok but i have a problem being sad a lot .,i get sad a lot .,i am happy a lot of the time .
"after i dropped out the university , i started flying planes .",i love art metal bands .,i am studying to be a dental hygienist but i hate seeing patient s saliva .
i use pens to write a lot .,my passion is writing .,i never learned how to write .
"i am a vet at an animal clinic , i love animals .",i work at a animal clinic .,i work in a bookstore .
just so you know i am young boy .,i am a boy .,i am a woman .
i have no job .,"i am done working ,",i am in a long term deal .
i used to run track in high school .,i am in high school apart of the school band .,i am enrolled in a exclusive education system .
i am a waiter .,i am a waitress .,i am working on my internet career .
i hope so . he loved when i cooked for him and my family .,i love to cook for my family and friends .,i never cook .
"i am 49 my 4 daughters are 17 , 22 , 24 , 25 .",i have 4 daughters .,"i am 99 my 9 daughters are 17 , 22 , 29 , 25 ."
absolute favorite is mushroom ravioli but you have to love mushrooms to like it .,my favorite food is mushroom ravioli .,my favorite food is steak .
hi i am mike from baltimore .,i am from baltimore md .,"i am from austin , texas ."
to me its summer for sure .,i prefer summer .,i am always happy when the summer ends .
i like to listen to country music .,i love country music .,i hate the country music .
i hate cats .,i am not a cat person .,i am a cat person .
"i like ! i am a young female , you ?",i am a female .,i am an older guy .
"i just took a drive with my wife , which i enjoy . how about you ?",my wife and i enjoy long sunday drives .,i am single and looking .
i love animals cats more than dogs though .,i like felines more than beagles .,i am not a cat person .
"i really like the washington nationals ! i am waiting for pizza to be delivered , cannot wait !",my favorite food is pizza .,my favorite food is cheese .
i am done with school and work with animals now with peta .,i love animals .,my career is in a library .
"daily ? i eat that during summer , but i am not big fan of hot weather .",i m not much of a fan of hot weather .,i love hot weather .
"i guess so , i am a compromising og rapper .",i can spit rhymes like a boss .,i am a pharmacist .
but pizza is amazing ! technically stuff .,i am an animal lover .,i do not like animals .
i run numbers for a brewery .,i am a financial analyst for a brewery .,i am in the navy .
i have children and i am a woman .,i am a older lady .,i am an old man .
the moo vies i tell jokes all the time !,i love to tell jokes .,some jokes go too far .
"funny except my dog and i are both short , so we get lost in the snow .",i like puppies .,i am tall and blonde .
are you married ? i have been for years so we both work a little .,i have been married for five years .,i am a single parent of boys .
"i guess , it takes me an hour to drive to work .",it takes me an hour to drive to work in the morning .,i volunteer at an animal shelter .
that is really unfortunate ! i would love to interview you for the discovery channel .,i work for the discovery channel creating videos .,i work at eureka .
so true . maybe i will pick up a book on drums at the bookstore .,i work in a bookstore .,i work at a vet .
yeah but my new job as a writer pays pretty good i must admit .,i am a writer .,i left my small town to work in construction trades .
lifeguard probably is not the best option then . you must be young at heart .,i work as a lifeguard at a beach .,i am a well educated businessman .
really ? nah i rather read a book .,i would rather read a book than watch a movie .,i am done with books .
i am a farmer .,i am a farmer and grow my own food .,i am a pilot for southwest .
it sucks so bad . i am working at mcdonald and cannot afford my own car .,i currently work at mcdonald .,i work for playstation .
i am just a baker . i sneak a couple bites here and there .,i am a humble baker .,i am a nurse and work in an emergency room at a busy hospital .
i am studying literature .,i am a student at michigan state university .,i graduated college for secondary english education .
my mom teaches music in the local elementary school . what do you study ?,my mom is a music teacher at the elementary school .,my mom is a palm reader in new orleans .
i am single and eat chinese food and watch my shows on my der at night .,i eat mainly chinese food .,i have been divorced for 2 years .
wow ! i am in ga . this weather is tricky . messes with my work cleaning gutters .,just this past week i got a job cleaning gutters .,i am an engineer .
i am good . i just started my job as a librarian so its been a long day .,i just started working as a librarian .,i volunteer at my local animal shelter .
yes and i work in a ice cream factory .,i work in a factory .,i work at the grocery store .
i take pride in getting straight a s .,"although i am studying to be a doctor , animals like me .",i am a graduate student .
"my father died , too much excercise , he used to work at the the same bank i do .",my father used to work for a bank .,i work in a diner .
we just bought a house in portland . our old place was to small to brew beer in .,"i live in portland , oregon .",as a kid i lived in southern united states .
i have lived in a lot of different places .,seeing the world is my obsession .,i do not travel .
i want to be a singer .,i am an aspiring singer .,i would like to be a teacher in the future .
i dream of being friends with adam levine . he is my man crush . i read a lot .,i m in love with adam levine .,my favorite singer is justin timberlake .
lucky for you swimming burns lots of calories !,i enjoy swimming .,i am afraid of drowning .
i am a truck driver in the south .,i m a truck driver in the south .,i am an accountant .
good morning . how are you today . i had a rough morning my cat was sick .,i love cats .,i am not a cat person .
because i am a vegan and would like to hear it .,i used to be a meat eater but i m now a vegan .,i eat eggs and bacon for breakfast .
i like to sew and read books .,i like to be alone .,i am done with books .
i do not like sweet home alabama though .,i don t like the song sweet home alabama .,i was born in kansas .
"i am 6 ft tall , are you tall or short .",everyone seems to comment on my height .,i am too short to reach the top shelf .
i like to write poetry in my spare time .,i love to write stories while sitting in the grass in my back yard .,i never learned how to write .
well my mom taught me to sing along with her students .,i am a business major .,i dropped out of school .
still be in music somehow some way .,music has always been my number one passion .,i don t like music .
just general stuff . i am a new teacher .,i teach at a large school .,i am an amateur entomologist .
sounds like a great job . i work for a christmas shop .,christmas is not the most wonderful time of the year .,i start putting up ornaments and garlands early in december .
hello there ! i am a bit busy cooking for my family and friends haha . you ?,i love to cook for my family and friends .,i do not like to cook .
i am totally into rock like guns and roses .,i like rock music .,my favorite band is bon over .
"i would not either , but its ok , being a secretary you meet alot people .",i am a secretary .,i am my own boss .
not me . mornings are my best time .,i am a morning person .,i try to stay n bed until at least noon everyday .
i work at a diner .,i am a short order cook at a local diner .,i work outside on taxis .
oh no . too dangerous . my momma was a nurse and she warned me about that .,my mother was a nurse .,my mother was a school music teacher .
no . but i have not tried alcohol .,i do not drink .,i drink local .
"it will be nice here , so i will hang out back and work on the story i am writing .",i love to write stories while sitting in the grass in my back yard .,i never learned how to write .
i just got home from work . i work as a nurse in the hospital .,i am an rn at a local clinic .,i am a concierge .
no kids here and i am single now so i have more time to paint .,i am currently single .,i am recently divorced .
that sounds good . i am going to play with my cat .,i have a cat named speckles .,i am not a cat person .
i lift a lot . probably 3 o 4 times a week .,i exercise 4 times a week .,"i hate to workout , but i need to ."
just have to make time is all . do not have a lot of money though .,i wish i made more money .,i never learned how to write .
nursing . i have spent a few days in the hospital during my career .,i am attending college to work in a hospital .,i am currently in elementary school .
i like to paint outdoors .,i like to deal in paint .,i do not enjoy using acrylics .
i understand . i am quite shy but i really love singing .,when i am alone i belt out the most beautiful songs .,i can t sing very well .
i do not play video games . i would rather hand out with my dog .,i love dogs .,i am not a dog person .
i can probably do what i am doing now . they always need cashiers .,i work at a gas station as a cashier .,i work as an accountant .
i cook for myself .,i like to cook with food i grow in my garden .,i really do not enjoy preparing food for myself .
i make and me by waiting tables .,i am a waitress .,i am a farmer .
"where do you live ? i am from portland , oregon .","i live in portland , oregon .",i was born in france and moved to canada .
i have no kids i work at a lawyers office .,i work as a receptionist at a lawyers office .,i left my small town to work in construction trades .
great ! i just ate four orange gummy bears . what about you .,i love gummy bears .,i like the color blue or red .
hi matt i am rod i am a vegetarian ever since but i do eat fish .,i do not consume meat .,i am a carnivore .
i like rock music i love worn the group and anything that is the color purple .,i like rock music .,my favorite musician is bruno mars .
my dog would like to go for a ride in it and hope you get it .,i am a huge fan of dogs .,i am not a dog person .
"oh that is great , i have loved fashion since i was young .",since young i have loved fashion .,i am a casual dresser .
i would love to be a professional athlete .,i want to be a pro athlete .,i want to be an astronaut when i grow up .
yoga is fun . i love taking long trips to the beach to play !,i love trips to the beach .,i do not like the beach .
its the sales part of advertising . i am currently working on a beer campaign .,i like to try different beers from various countries .,i do not like beer .
it is great . i play all the time . i love playing on green grass .,my favorite color is green .,my favorite colors are pretty basic .
i have been working as a lawyer for 15 years now .,i work in a lawyers firm .,i work in fast food .
"neat . you seem quiet . i am quiet , too .",people in school said i was quiet .,i am never still .
i love rock and go to community college . so do you know how ?,i go to a local college .,i grew up homeschooled .
lol my dog is a vegan dog now because she got diabetes so it has helped her .,i eat a strictly vegan diet .,i am an omnivore .
what do you do for work ? an author is what i want to become .,i want to become an author .,i want to be a pro athlete .
i get too self conscious as it is . only place i let loose is singing in the shower .,i love singing .,i can t sing very well .
my mom works in a library with books .,my mother is a librarian .,my mom is a cosmetologist .
i am fine . i am actually a doctor and my wife is also a nurse .,i am a doctor .,i am a high school teacher .
i always eat my vegetables .,i love all sorts of fresh vegetables .,i don t really like vegetables or fruit but i pretend .
i clean all the time for dusts and clutters .,i am a neat freak .,i have ink stains on all my shirts .
"money max ; speaking of money , i have 3 ferraris and 3 ex wives .",i grew up well off .,"money max ; speaking of money , i have four ferraris and four ex wives ."
"i am a doctor , and i get to work every day with my wife she is a nurse .",my wife is a nurse .,i escaped and later became a carpenter .
i bet . i use a prompting app to write my stories in my document tab .,i write short stories in my document tab with the use of a prompting app .,i never learned how to write .
"i first started writing in philosophy class , it was that boring .",i write short stories in my document tab with the use of a prompting app .,i never learned how to write .
i had a tiresome job .,"i am done working ,",i work all the time .
"sure , as long as it is not mexican food , i hate that stuff .",i hate mexican food .,my favorite food is mexican food .
i like to deal in paint .,i am a painter and love to create art .,i do not enjoy using acrylics .
i have 2 laptops . you could come join me .,i owe two laptops .,i have 3 laptops . you could come join me .
did you go there ? i am 17 and will go to a very liberal college soon .,i am about to go off to college at a very liberal school soon .,i do not do well in school .
then we can go shopping ! i love shopping . i am a lifestyle shop blogger .,i am a lifestyle blogger .,i work as a clerk .
"i really like all animals , i aspire to become a singer so animals will follow me .",i am an aspiring singer .,i m currently looking for employment .
need to get ready for work . business school is not cheap !,i study to be a businessman .,i am a geology major at alabama university .
"never been there , but i have been to most of the states as a truck driver .",i am a professional freight driver .,i work in commercials .
well that is not good i am a vegetarian .,i am a vegetarian .,i am a carnivore .
i keep reproductions of van gogh on my wall because yellow was his fav colour too .,my favorite color is yellow .,i enjoy wearing the color of lips .
an artist ! i love to sculpt and sell my pieces .,i am an artist .,there i m a general of an orcish army .
i am glad that i work from home .,i am employed online .,i am in the army .
no one likes the tax assessor . i wish i could go swimming today .,i like swimming .,i am afraid of drowning .
"hi , i never leave my house . this is how i meet new people .",i love to clean my house .,i have ink stains on all my shirts .
"as long as things are organized , i really enjoy running .",i enjoy a good run .,i cant stand to jog but i push myself .
"hi , that is cool . i am in public relations .",i work in public relations .,i am a photographer .
that is alright i despise school .,i hate school .,i like to go to school .
i like reading a lot .,i like reading .,i do not like reading scientific information .
"yes , i have been a pharmacist since i gave up my wild youth .",i am a pharmacist .,i m a truck driver in the south .
i do too . i love books . that is why i love my bookstore job .,i work in a bookstore .,i am in the military .
i do not want a job .,i do not like my job .,i like my job .
"i cant say i have done that , but it is my favorite fruit . especially green apples .",i like fruit .,some fruit does not agree with me but it is not that bad .
"cool , my school did that . i cannot wait until i get to first grade .",i have just started school .,i just graduated college with my bachelors degree in education .
i play a lil bit of piano but fashion and designing have always been my passion .,i am really in to fashion .,i am a casual dresser .
"no , i just enjoy strong breezes and cold winters .",i enjoy cold winters and strong breezes .,i really do not like cold winters .
good . getting my 2 kids to bed . i have a messy house to clean . hate it .,i do not like to clean house .,i love to clean .
compete . its funny i have never enjoyed sports until now .,i hope to keep improving and go big with this sport .,i am a sports fan .
i am college student in biology department .,i am an excellent student .,i just graduated finally done .
i like animals so much that i became a vegetarian and i lost 60 pounds .,i love animals .,i eat eggs and bacon for breakfast .
i would like to be a journalist one day .,one day i hope i can be a journalist .,i am studying to be a special education teacher .
hello from a small town in canada !,"i live in canada , near ontario .","i live near grand rapids , michigan ."
"i have 10 years experience in our industry , yet she gets promoted .",i save lives .,i start an internship in engineering later this year .
"yeah , i guess we would have to travel too far . i miss russia .",i am from russia .,"i live in the city of grand rapids , michigan ."
my mom is a nurse so she keeps me on target .,my mother was a nurse .,my mother was a concert pianist .
"my kids ages are 19 , 18 , 13 , 10 .",i like children .,i do not like kids .
"great , trying to get thru the day without coffee .",i do not like coffee .,i love starbucks coffee .
my mother is a ballet dancer .,my mother is a ballerina .,my mom is a palm reader in new orleans .
"sometimes , i sit by strangers on the subway and strike up a conversation .",i like to talk .,i don t talk a lot .
kpop is the only music that gets me in the mood to go clubbing .,kpop is my favorite music .,rock music is my favorite .
congrats ! just traveling really with my headsets than earbuds for good music .,i prefer headsets over earbuds .,i do not travel .
"i am a computer technician , though to be honest , its nothing special .","i work as a computer technician , but secretly hate my job .",i am a barista .
i just turn 26 and plan to move to san diego soon . my time will come .,i will be moving to san diego in two months .,i live in a suburb of boston .
i am a pharmacist ; i finally grew up !,i am a pharmacist .,i work over 60 hours a week as a restaurant manager .
poor guy . at least he has the cat .,i hate cats .,i want to be a large cat with stripes .
i cannot fight anymore . nowadays i prefer reading quietly .,"when i have nothing else to do , i read books .","i enjoy john gresham movies , but not his books ."
"interesting . i work at the movie theater , i have been there for four years .",i worked at a movie theater for 4 years .,i used to be in the marines .
"your wierd , enjoying my bed with my 3 cats eating a taco .",i have 3 cats .,"your wierd , enjoying my bed with my five cats eating a taco ."
i just hang out with my 10 cats eating blue jello .,i own 10 cats .,i just hang out with my eleven cats eating blue jello .
i have been a vegan since 5 yrs old shame .,i have been a vegan since i was 5 .,i am primarily a meat eater .
"yum , i could not imagine being blind . if i could not see yellow , i would die .",my favorite color is yellow .,i like the color blue or red .
"baked ziti ! we love to go to concerts together , iron maiden is our favorite .",my favorite band is iron maiden .,my favorite band is up .
"a few years before i finally settled down and married my wife , miss usa .",i married miss usa .,i am a single parent of boys .
everyone seems to comment on my height .,i am almost 7 feet tall .,i am 5 3 and am the shortest person in my family .
i have been driven away from sports because i dislike acting due to my dad .,i do not like acting .,i like to act out side of class .
my name is mary and i am from colorado .,"i come from bennett , colorado .",i m from texas .
that must be nice . i enjoy being around family and friends .,i enjoy spending time with family and friends .,i do not have a job .
i never get tired because i only eat meat .,i could never be a vegetarian .,i do not like to eat meat .
here i hate really driving .,i hate to drive .,i sometimes drive fast .
"i entered college , and got a degree . we live out in colorado .",i live in colorado .,"i am from sterling heights , michigan ."
"hi ! i am a football player , linebacker , and am an avid athlete !",i had 128 tackles last year .,i labor as a funny person in a act .
i am from colorado . great place for my dog and i to enjoy the outdoors .,i like puppies .,i hate dogs .
"lol fun ! we do everything together , yoga and coffee every morning .",i drink coffee every day .,i cannot stand the smell or taste of java .
"tracy is the name of the cat , i only eat vegetables .",i like cats .,i am not a cat person .
i saved an infant from a burning car while going to a basketball game .,i am not very good at playing basketball .,i like basketball .
hi ! reading is my favorite past time .,i love reading .,i do not like reading scientific information .
i want to become a music teacher .,i hope to become a music teacher after retirement .,i wish i was an astronaut .
i grew up in the projects of chicago .,my home is in the windy city .,my youth was spent in the public housing in a major city in illinois .
i was a business major just got out of school so anything business related .,so i started a small business .,i am a high school teacher .
"i am a full time student , but i work part time at a coffee shop .",i am a student at michigan state university .,i am a professional bowler .
"i have got to ask , how tall are you ? i cannot date people shorter than me .",i only date people taller than me .,i am an outcast .
just personally interested . i am looking to go into business for myself .,i am looking to start a business .,my next job will be in the federal court .
i am doing geology at university .,i am a geology major at alabama university .,i am enrolled in a design college .
i just dropped out of school last month so i am kinda winging it .,i dropped out of college a month ago .,i did not graduate from university .
i am fine thanks . its always fun to talk with new people !,i like meeting new people .,i have a hard time feeling connected with people .
i have a dog and two cats .,i have a couple of german shepherd .,i do not own any pets .
i am a paramedic and studying to be a nurse .,i am a paramedic .,i work as an accountant .
omg hyper hyper hyper i got done swimming 30 minutes ago need my meds .,i swim often .,i am afraid of drowning .
oh that is interesting . i am striving to be a doctor .,i want to be a doctor .,i want to be a museum curator .
i am not one for the city . too many people .,i like being away from the city .,i do not travel .
good . just got in from work . i am a receptionist at the doctors office .,i manage all the paperwork and incoming calls .,i am employed in the food industry .
nice . how do you like it ? i am a teacher and i love it .,i work as a teacher and love my job .,i am a ninja .
you should try it . i volunteer at a shelter with dogs .,i volunteer with dogs .,i am a professional gamer .
i am one of two boys in my family .,i am a boy .,i am a seasoned girl .
"i am bill , and i grew up in the state of alabama .",i grew up in alabama .,we lived in virginia while i was growing up .
"i am fine , just walked along the beach .",i love trips to the beach .,i do not like the beach .
a cat . or we could go get tattoos .,i love cats .,i am not a cat person .
"well , i am a scholl teacher so i do not think that is appropriate , just sayin .","i teach 5th grade students near oakville , ny .",i am a travel agent .
"wow impressive ! i just had my favorite dinner , pizza .",pizza is my favorite .,i cannot stand pizza .
i do not . i take a lot of pictures . i would like to be a famous photographer .,i want to be a famous photographer .,i plan on becoming a cop .
"unfortunately , not a lot . applied for welfare last month . it has me depressed .",i have had some bad luck recently and have been feeling depressed .,i am a happy person .
do you like blue cheese .,my favorite color is blue .,i really dislike things that are blue .
names jed and i enjoy eating meat .,i like meat .,when i was a child i began avoiding meat .
that is cool . i started taking beauty classes . definitely not related lol !,i started taking beauty classes too .,i am a high school student .
i have tickets to a concert of theirs in san diego soon .,i will be moving to san diego in two months .,i live in a house in california .
i love cats ! i have 2 chester and robin . but i love all animals .,i love animals .,i am a wedding planner .
you could bring your girlfriend . our hotel needs a good chef .,i work at a hotel .,i am employed by the government .
i love beef .,"if it comes from a cow , i will eat it !",i do not like well done beef .
i have just started school .,i am going back to school .,when i was in college i focused on commercial courses .
"that sounds cool , i work at a school as the psychologist .",i am a school psychologist .,i am an acrobat .
"sounds good . after swimming , start the grill and throw some apples on .",my favorite fruit is apple .,nachos are my favorite food .
thinking about you . it was filmed in japan !,i live in japan and own the biggest mansion in the country .,i live in my foreign car outside los angeles .
i do not like the idea of working . i am not a corporate slave .,the idea of working is not my cup of tea .,i enjoy working .
i can understand that . i enjoy country music though .,i like country music .,i hate the country music .
well my husband had 2 kids before we got married .,i am married to a man .,i ve been divorced for 2 years .
i am a college student in michigan i want to be in a broadway musical .,i am a student at michigan state university .,i dropped out of college a month ago .
i have a job working at a bank .,now i also work at a bank .,i work in a coffee shop .
yeah i love dogs ! they hunt for me . i love to eat red meat !,i like to eat meat .,when i was a child i began avoiding meat .
i sell products .,i work in sales .,i am an aspiring fiction writer .
me too ! ink if i can be a vegetarian lol .,i want to be a vegetarian .,i am an omnivore .
i get sad a lot .,to free my mind from feeling depressed i look up at the stars at night .,i am a happy person .
do you have any favorite foods ? mine are fried chicken and chocolate cake .,my favorite foods are fried chicken and chocolate cake .,pasta is my favorite food .
i did graduated with my associates and bachelors .,i graduated from college .,i m a graduate student studying law .
i help at animal shelters on my free time .,i volunteer at my local animal shelter .,i am employed a traditional number of hours .
"of course , but in texas , we hear mostly country music on the radio .",i live in texas .,i live in the state by colorado .
17 . i had to wear them in catholic school back in new england .,i am 17 .,i always had excellent grades so i think i will get into a good college .
"i have red everything . . . lipstick , purse , shoes . . . lol .",i wear a red purse .,my favorite color is orange .
"for winter , skiing and snowboarding , but i swim year round .",i prefer winter over fall .,i cannot stand winters .
awesome been married 5 years and i work for a candy shop .,i ve been married for five years .,i am a widow .
hi . i just finished cooking some stew for my my restaurant . i can wait .,i like to cook .,i cannot cook .
hi what band do u like i like creed .,my favorite band is creed .,i am a huge fan of jason mraz .
do you get free food ? i love my job . i have been there for 8 years .,i ve had the same job for 8 years .,i am not a basketball player though .
wonderful ! my mom is a retired teacher who plays the violin .,my mother is a retired teacher .,my mom was a homemaker .
i live alone . my 5 grandchildren wo not visit me at my cabin .,i have 5 grandchildren .,i live alone . my eleven grandchildren wo not visit me at my cabin .
that sounds fun . i am singing along to the radio while i cook dinner .,i love to sing .,i can t sing very well .
"yes , they could be . i know a good vegan restaurant we could go to after .",i m a vegan .,i am primarily a meat eater .
cute ! did your family ever own a restaurant ? mine owned a small one .,my family owned a small restaurant .,my family was in the medical field .
i am sure it does . well my dream is to play drums for a living .,i dream of playing music for a living .,i am studying to be a dentist .
i enjoy team sports .,i like to participate in sports that require speed and agility .,i detest anything to do with going fast on legs .
i graduated from stanford so i probably can .,i went to stanford .,i have not done anything since high school .
we read different books each week . i could text you the details love my phone !,i joined a reading group .,i am done with books .
"no , the only thing i find fun anymore is people watching . ca not be disappointed then .",i am not a people person .,people don t like me too much but i like them anyways .
i am sorry to hear that . my dad was an actor .,my father was a famous actor .,my dad and poppy had jobs as clowns .
must be fun ! my version of that is running around a library !,my job is now at the library .,i work at a daycare .
i got a new place to live close to work .,i will start working at a new place of employment soon .,i became unemployed from the bank recently .
i got married so young .,i married my high school sweetheart .,i have two children but i am divorced .
i am above the standard height of a us male .,i am 6 feet tall .,height is missing from my stature .
i do not have a cold but my wife is leaving me .,my wife just left me .,i sometimes wonder why i am not married .
sounds a lot like cooking .,she taught me to cook .,i never cook .
"well i was not successful in finding a job so i start a business , so productive lol .",i have not had luck with finding a job .,"i work as a physical therapist , and my wife is a school nurse ."
well you should buy me pizza .,i like to eat pizza .,i can t stand pizza .
"very nice ! my son and i went swimming today , now he is reading .",i would enjoy having a dip in the pool .,i am afraid of drowning .
no i am studying to be a doctor and no time for a pet .,i am studying to be a doctor .,"when i was a child , i wanted to be an architect ."
"grocery stores , amd a lot of customers .",i work in a corner grocery store during the day .,i tend bar on the weekends .
my neighbor stops by to watch rugby and loves them !,my neighbor comes over all the time to watch rugby with me .,my favorite team is the washington nationals .
"i enjoy what i do , i serve smoothies at a smoothie shop .",i work at a smoothie shop .,i work in a stable .
dog movies are the bes .,i like dogs .,i am not a dog person .
"never , though that may be why i am still single at 40 .",i am single .,"i got engaged to be married in paris , france ."
i am a english teacher . what about you ?,i want to be a teacher .,i wish to be a rock star .
rock music and basketball are my passions .,i like rock music .,i am not very good at playing basketball .
hey there i feel like i never rest as a doctor .,i am a doctor .,i am an actor .
oh ! i get that . i went through a lot of school training to be a nurse .,i am an rn at a local clinic .,i work at a school as an art teacher .
i attend an area institute of higher learning .,i will graduate next year .,i dropped out of high school .
we ate fish then . i cannot stand the smell or taste of fish now . ll .,i hate the taste of fish .,i love fish .
"as an athlete , i drive up the mountain with my corvette and run down .",i am an athlete .,i work outside on taxis .
"europe , i just hope somebody takes car of 3 cats .",i keep many kittens .,"europe , i just hope somebody takes car of 5 cats ."
that is awesome . i have been there many times with the family . love spending time with them .,i enjoy spending time with family and friends .,i don t have a lot of family members that i like .
where is your favorite place to visit ? i love beaches .,i love to go to the beach .,i hate the beach .
hey allison ! i also like going to the movies .,i am an animal lover .,i do not like animals .
yes true ! i am planning on moving to san diego in the next couple months .,i will be moving to san diego in two months .,i live in japan and own the biggest mansion in the country .
nevada was a dark time for me . i grew up as an orphan . no fun .,i am an orphan .,i grew up in the projects of chicago .
i studied clothing designs but never used it .,i am a freshman in college .,i am in the 11th grade .
i work at walmart as a stocker .,i work at walmart .,i work at google .
i am 30 still living at home trying to open my own business .,i am starting my own business .,i have an internship at a computer company .
i have seen lots of cars in london my place of birth .,i was born in london .,i m from seattle .
great classic movie . are you into country music ? i love all country music !,i love country music .,i like listening to all genres of music except country music .
i like cooking sometimes with friends .,i enjoy spending time in the kitchen .,i never cook .
i do not have a family . my dog rover is my best friend .,i go with my puppy everywhere .,i have not told my family that i am interested in the same sex .
i like working with numbers .,"i enjoy exercising ,","i hate to workout , but i need to ."
that sounds like fun ! i get to meet people on some of my jobs too .,i work some very odd jobs .,i am currently unemployed so i have time to write .
i have 2 children .,my wife and two kids camp with me .,i have 8 children .
they are ! hoping to see some nice ones in paris this year on my vacation .,i am traveling to paris this year for my vacation .,i do not travel .
i actually have two jobs both as a cashier .,i work two jobs as a cashier .,i am an aspiring fiction writer .
do you have a job .,i do not have a job .,i love my family .
i have been in beauty pageants .,i use to compete in beauty pageants .,i m a receptionist at a doctors office .
"pfft sounds like my mom , get a job , go to collage . lame !",i do not want a job .,i like my job .
dogs are my favorite animal .,i really love dogs .,i am not a dog person .
get out ! me too ! my wife had blonde hair . i am a baby doctor . you dance ?,i love kids and am a doctor .,i design video games for a living .
hi ! i work at the zoo and have trained more than 20 types of animals !,i work at the zoo .,i work at a candy store .
nursing is special i also like to help people .,i retired so i can spend more time with my husband and helping people .,i am employed a traditional number of hours .
cool ! i am a student ! i cannot wait to finish high school !,i am a high school student .,i go to msu .
yes . i am a plumber . you ?,i work as a plumber .,i work as a dental assistant in a ritzy part of town .
i get that . sounds busy . i have two but i say four with my dogs included .,i have two dogs who are like my babies .,i get that . sounds busy . i have nine but i say four with my dogs included .
yes i love to sleep lol but i also like writing . like short stories .,i enjoy writing .,i never learned how to write .
i go to art school .,i enjoy things of an artistic nature .,i go to high school .
pretty good religion . i love to watch the voice .,my favorite show is thevoice .,one of my favorite shows is face off on syfy .
"hello , i am mia . you can find me in the garden , when i am not traveling .",seeing the world is my obsession .,i do not travel .
"no , basketball is my favorite .",i enjoy throwing balls in the hoops .,i am not very good at playing basketball .
i am studying to be a special education teacher .,i am chasing my dream to teach ela at university .,i hope it to become a doctor one day .
"oh , i love cats . i am looking to redecorate my room in yellow .",yellow is my favorite color .,my favorite color is orange .
i have one through a program at the hospital where i work .,i work at a hospital .,i work in fast food .
"well , i will try it , chicago has a bunch of earthy eateries around .",i live in chicago .,my country is russia .
i am not big on grocery shopping but i love shopping for shoes !,i like to go shopping a lot .,i do not like wearing shoes .
ah . thank you for your service . my job is at a marketing agency .,i work for a marketing agency .,i work at a museum .
yes that would make me happy .,i am a happy person .,to free my mind from feeling depressed i look up at the stars at night .
yes i do love it . i came from sterling heights michigan and hope to go back .,"i am from sterling heights , michigan .",i live in new york and i love the local shops around here .
"i actually prefer winter of autumn , but autumn is nice too .",i prefer winter over fall .,i hate winter .
"hello , no sorry i have to get up early for work .",i go to work early in the morning as a nurse .,i am a blackjack dealer .
"i go to college , but currently am between classes .",i am in between classes .,i dropped out of college a month ago .
"related to what i do now , grill cook , nothing fancy .",i work as a grill cook .,i am in the sanitation industry .
"i am a character voice on the radio , you ?",i work on the radio as a character voice .,i serve at a bar on the weekends .
i like 80s music too . i also love pearl jam .,my favorite band is pearl jam .,my favorite singer is kid rock .
"that is great ! i love to be outdoors as well , especially playing basketball .",i love to play basketball .,i am not very good at playing basketball .
not much now . . . i use to be a champion downhill skier .,i was a champion downhill skier in college .,i hate skiing .
i am currently unemployed .,i am unable to keep employment for any considerable length of time .,i am in a long term deal .
i am good ! just listening to some muse while browsing the internet .,my favorite band is muse .,my favorite band is the beastie boys .
"my mom makes clothes , she has a fashion line !",my mom is a clothing designer and even has a line .,my mother is a dentist .
"i create beautiful works of art starting in my mind , sent to my hands , finished on paper .",i turn things into art .,i work at an auto dealer .
what is ? then again my day job is at an office .,i currently work in an office job .,i retired so i can spend more time with my husband and helping people .
not at all . i am just really tall . about 7 feet .,i am almost 7 feet tall .,i am too short to reach the top shelf .
i am an army ranger and spend most of my time deployed .,i would be honored to give my life for my country .,my next job will be in the federal court .
sorry to hear that . what do you do for a living ? i sell paper products .,i sell paper products for a living .,i am a professional bowler .
i am single as well . i am trying to get better at piano to impress them .,i am single .,i am engaged .
"oh , you like cats ? i have dogs personally . love my dogs .",i love dogs .,i hate dogs .
its how they are . its why i want to get to a liberal school fast .,i am about to go off to college at a very liberal school soon .,i graduated high school in 1986 .
i am hopeful for marriage .,i am getting married soon .,i married miss usa .
chemical . have to carry on the tradition . both parents are scientists .,i work as a scientist .,i m a judge in the circuit court .
