anchor,positive
i am fixing an old plane to fly .,i think if i work hard enough i can fix the world .
wow sounds like my love for victorian things .,i like victorian things .
cool i love to travel to paris a lot .,i like to travel .
summer is my favorite i love fishing at that time .,i enjoy fishing .
i hate school life and the way i am being treated .,i m dissatisfied with the school life i ve had so far .
"hello , do you like politics ? its something i like to get involved in !",i like to get involved in politics .
"no , my cooking is vet good also , i cook nicely !",i am really good in the kitchen .
i got married after escaping from being a slave for ten years .,i had a tough childhood .
"reptiles are not my thing . my goal is to be a teacher , what do you do ?",i would like to be a teacher in the future .
"it happened to my mom , and now she works at apple !",my mother worked for apple .
i chose being a vet as i love cats .,i love cats .
"as a woman , i am hilarious .",i am a very funny woman .
"you should . it is awesome . lots of great shopping , which i love .",i buy a lot of clothes .
i hope my dad can get me a job with ups . he is been working there 10 years .,my dad works for ups .
probably so ! i recently started working for enterprise online .,i recently started to work online .
"play video games for money , like on youtube or something .",i play video games all day .
"football , camp and surf , lol .",my favorite sport is football .
i design jewelry when i have spare time .,fashion is one of my favorite hobbies .
i am an art teacher .,i enjoy educating the younger generations .
"well , at least veganism is getting more and more popular everyday !",i am a vegan .
cool . i have a honda civic . it is black .,i drive a honda civic .
that does not matter . all that matters is i am getting my bachelors and have a girlfriend i love .,i love my girlfriend .
yes . i have some iguanas .,i have a few pet iguanas .
i enjoy it . get a lot of time to read during the subway rides to work .,i take the subway to work everyday .
"no , its factual . open air venue festival worse sonics than closed venue .",i have a little son .
i punch in every day .,i work 2 jobs .
i am alison i am watching magic mike .,magic mike is my favorite movie .
both of my parents are teachers .,both my parents were teachers .
you should listen to our radio show . i play a character on there .,i work on the radio as a character voice .
lol just ask for albert .,my name is albert .
i go to college part time .,i am recent college graduate looking for a job in marketing .
"yes , i think i had too many gin and sprite last night .",i like sprite soda .
cool . i usually draw inspiration from classical music though .,my inspiration is clasical music .
i play a lot of chess in my free time .,my favorite hobby is chess .
my family came her from saudi arabia .,my mother is an immigrant from saudi arabia .
i do have a hobby now . pottery making and refurbishing classic cars .,i make pottery .
i love anything with fashion .,i went to school for fashion design and did nothing with it .
i got a scholarship for soccer .,i got a scholarship for playing soccer .
i hate myself for being a vegan .,i am a vegan .
"that is not good , my passion in life is designing french fries .",my life s passion is designer french fries .
hello do you like to travel ? i need more money to travel .,i wish i had money to travel .
writing poetry and skate boarding when i have time . i am also in a band .,i sometimes write poetry .
you there ? oh okay . no pets . you like to draw people ? i do .,i like to draw other people .
"i am not the typical lamp person though . not many tall , curvy , blondes !",i love to lamp .
it is a democrat thing .,i am a democrat .
"great , just got back from the gym . how are you ?",i like to go to the gym .
understandable . i never had kids i like them but did not want my own .,i love kids .
yes i am . my husband works for the state government .,my husband works for the government .
"i feel very happy , my dog is keeping me company .","lina , my greyhound , is a source of constant affection ."
"i work in a doctors office , i am a receptionist .",i m a receptionist at a doctors office .
"it is brown , i skate board to work . i have an apartment in new york .",i reside in manhattan .
i am 71 and live in the countryside most my friends can not travel as well .,my house is located in the countryside .
i play the violin and love to sing all though i do not sing well .,i can play the violin .
ah . thank you for your service . my job is at a marketing agency .,i work for a marketing agency .
so i am a general in what is called the oris army . ever heard of that ?,there i am a general of an oris army .
my truck is a ford f150 . you can go to the country and drive .,i have a ford f150 .
i am trying . you seem nice . you can ask me questions . do you have pets ?,i do not like being asked a lot of questions .
"i hate running too . i m on the ice hockey team , so i like skating .",i play ice hockey .
reading is relaxing . i do yoga to relax .,i love to do yoga .
nothing right now . i maxed out my credit cards and bought a sports car .,i drive a fast sports car .
a dog . i cant have a cat due to my allergies .,i am allergic to cats .
"ok , sure . i am a college dropout , in the army and i fly planes .",i am in the army .
i own an older model car .,i have a brand new chevrolet .
i am sure you have very little free time . you are changing the world though .,i hope to change the world .
that is fun i wish i had more friends i just hang with my dog .,my only friend is a dog .
you could bring your girlfriend . our hotel needs a good chef .,i work at a hotel .
i love costco ! i got some new sneakers there a few weeks ago .,i just bought a new pair of sneakers and they feel great .
hi i am pretty good . my allergies are really acting up today .,i have allergies .
my daughter is volunteering as well at a shelter for fire victims .,i am a proud mother of a beautiful girl .
i love cooking too how about you .,i love to cook .
that is interesting ! i watch a little kid who lives next door and am retired .,i babysit for the woman who lives next door .
i did my homework quick so i can go hunting .,i love to hunt .
i watch cartoons still .,i enjoy various cartoons .
"i drink so much of it that i need a way to relax , running is the key .",running is my way to relax .
"i actually sing gospel myself , we gotta meet up sometime ! socialization is key .",i am very social .
"i am a very organized person , my surroundings are perfectly organized .",i enjoy organizing my surroundings .
homework is awful . i just watch movies all the time .,i watch a lot of movies .
nice . i am currently on the hunt for a job .,i am currently looking for a job .
"hello , i am 35 years old , a hs teacher from japan .",i came from japan to teach high school over 10 years ago .
yeah its pretty good but spend most of my time overseas in the army .,i am in the army .
roses and daffodils are the best .,"when the flowers bloom , i am in love ."
"no , but i have a small dog . i chase my him all the time .",i own a chihuahua .
"cats , your name should be caterer . bad jokes are what i do best .",i want to be a large cat with stripes .
i own a small farm in grand rapids michigan .,i own a small farm where i herd cattle .
"that is nice . i love the outdoors , also to swim when the weather is hot .",i like to swim when the weather is hot .
"i like to play soccer , i love games of throne and a vegan .",i like soccer .
"interview me , what state are you from ? i ve never been to the west coast .",i have never been to the west coast of the united states .
i have a young kid .,carmen said that i am the best mommy .
"not much , just got back from my martial arts class .",i know karate .
i have a twin sister named jessica .,i have a twin sister .
"yes i graduated , in writing and poetry .",i am a poet .
i live on ranch so we have a ton of pumpkins around this time .,i live on a ranch .
i love to jog .,i love to jog when the moon is out .
"i work at a brewery , craft beers are my passion .",i like to drink on the weekends .
"its okay , but honestly , i am more than ready to relax , enjoy my grandkids and quilting .",i was a bad kid .
german was the language i studied but never gone to germany .,i can pass myself off as a native berliner .
i enjoy my dogs a lot .,i am a dog person .
i like making lets plays . a lot of people do not know what that is .,i enjoy making lets plays .
"yes , my sweet tooth will thank you .",i have a sweet tooth .
that would be a nice job since i am always thinking about food anyways .,i think about food a lot .
i am a 7th grade math teacher .,i enjoy educating the younger generations .
unfortunately working . i work for a cab company as a contractor . you ?,i work as a contractor for a cab company .
i am a scientist . what do you do ?,i work as a scientist .
i like when it precipitates .,i love the rain .
i have 2 cats and a dog .,i had two cats growing up .
yeah the future scares me . i do not want any animals to get hurt .,the future scares me .
singing lessons last night found out i cant sing voice bad .,i have a terrible singing voice .
i listen to country music .,my radio is usually tuned into a country station .
what is that ? i am also a saxophone in a jazz band .,i m in a jazz band and play the saxophone .
i like to program .,my passion is in programming .
you are right ! i could even get you free pizza to help you save money .,my favorite food is pizza .
i really enjoy winning ! you won a bar ! wow .,i love winning .
maybe you can get one one day .,i hope to travel the world one day .
i am not familiar with him . i am into ballet . i am a dancer .,i like to spin on stage .
my morals come from my grandmother she raised me .,i do not know my mother .
i love meat too much to go vegetarian . do you like green tea . i love green tea .,i like to drink green tea .
they creep everyone out lol . maybe that is why i am always cheated on by ex girlfriends .,i ve been cheated on by every ex girlfriend except for one .
"i have a dog now , her name is jasmine . i love animals .",i have a pet dog .
sounds delicious ! i am a scientist .,my work in the lab was always most important to me .
i mainly watch movies a movie i can watch a lot is django unchained .,my favorite movie is django unchained .
i like to read a lot .,i love to read and cook .
"yes , my dad and brother watch it . i work instead in the basement .",i live at home with my dad and brother .
i have been with mine for a few years . my parents in kentucky do not approve .,my parents live in kentucky .
ok do you like board games .,i like to play board games .
i just graduated from my university .,i recently graduated from college .
i love cooking big italian meals after church on sunday .,i like making pasta .
awesome . you must be around my age . i am 25 .,i am twenty five years old .
i like the beastie boys .,my favorite band is the beastie boys .
winters my favorite time of the year .,winter is my favorite season .
"travel , look at cars , and green things .",i like cars .
that is cool . i started taking beauty classes . definitely not related lol !,i started taking beauty classes too .
traveling . my class is going to go to japan i am excited .,our class is planning a trip to japan .
"well i love to cook , i am a vegan so i like to experiment with different dishes .",i am a vegan .
my wife went to be a nurse . that is good .,my wife is a nurse .
yes but tennis shoes are the only thing i wear only thing .,i only wear tennis shoes .
green ones ! ha ha . only because that is my favorite .,green is my favorite color .
that is nice . i am a teacher . i love it . what do you do ?,i work as a teacher and love my job .
i like to write short stories . hope i can publish them one day .,i write short stories in my free time .
"to the us , nh my thick accent i cant say hippopotamus accent too thick .",i still have a thick accent so words like hippopotamus are difficult .
"i teach children , drink coffee , and do yoga everyday .",i do yoga every morning .
"if you enjoy the lake too , maybe we could go run walk there ?",i love to go to the lake .
i eat sweets and then sleep every 5 hours . . .,i love sweets .
"i created my own religion , because i do not believe in any of the christian ones .",i have created my own personal religion .
i love the city . i work at a book shop with my older brother . it is fun .,"we have the same parents , he was born first ."
being a parent is a core part of my existence .,i am a parent to 3 kids .
you should quit sports and travel . my parents went to florida .,my parents recently moved to florida .
"i understand . my mom and dad were scientist so now , that is what i do .",my work in the lab was always most important to me .
"great , just eating some mushroom ravioli . you ?",my favorite food is mushroom ravioli .
hey ! i am great . my name is jessica . my cats name is jasper .,i have a cat named jasper .
hey allison ! i also like going to the movies .,i am an animal lover .
we went on our first date at the museum he impressed me .,i like visiting art museums in my spare time .
that is good to keep up with my dad jus had a heart attack .,my father recently had a heart attack .
what you scared of ? heard i got my smarts from my dad who i hate .,i hate that i got my brain from the dad i never met .
"yes , sometimes i think i will eat one of my 23 cats , but alas , i am vegan .",i have way too many kittens .
i am a designer its such a passion .,i have recently started working as a freelance designer .
"i love to travel . my father is in china , we visit often as possible . hoodoo likes baths .",my father lives in china .
i come from a family of musicians . my mother plays cello .,i am a musician .
i play video games while i am on break at work .,i love playing fallout 4 .
i am married with one child .,i have one child .
"hi friend , college student here . michigan state represent !",i am a student at michigan state university .
i love travelling and discovering new cultures .,i enjoy seeing new places .
japan would be nice . i work for amazon and several of my friends work in japan .,i work at amazon .
i am from ohio . i enjoy blogging and have found a few blogs to share opinions with .,i ve found other pretty good blogs to share opinions with .
i saw so much one direction stuff at walmart when i went .,i like to do all my shopping at walmart .
family time matters most i did not have it so lucky .,i love family time .
i really want to live on mars .,i want to go to mars .
"i had to leave early , my father had a heart attack .",my father recently had a heart attack .
i know ! but pork tastes so good .,i m lazy and pork tastes good .
i do not have a relationship with my deadbeat dad .,i hate that i got my brain from the dad i never met .
"ah , yes . i love my husband . he is my favorite author , you know .",my husband is an author and we have twins together .
i am studying for my master s .,i am trying to get a post college degree .
"hello , my name is dawn and i enjoy reading stephen king books .",i love to read .
i have a younger sister .,i have a little sister .
i use instagram . you ? it is important my posts look like i am having fun .,it s important for my instagram posts to look like i m having fun .
i wish i could make films but i am stuck at this popcorn filled movie theater job .,i work in a movie theater .
yes i love french vanilla coffee i am a vegan are u .,i am a vegan .
i enjoy all types of vegetarian food .,i enjoy eating vegetarian food .
lucky ! i work at a diner and i own a cupcake business .,i work in a diner .
a nurse . my mother worked as a nurse . so they inspired me to be one as well .,mo mother worked as a nurse .
lol true i am nervous gonna propose tonight .,i am proposing tonight .
i am a cashier at my local shock store .,i am a cashier in a supermarket .
"football , for the baltimore ravens . i have been an athlete all my life .",the name of my team is the baltimore ravens .
my wife has me sing to her . she has terminal cancer . makes her feel better .,my wife has terminal cancer .
yeah an i have a timeshare at mexico .,i have a timeshare in mexico .
i want to have a business that i started .,i am looking to start a business .
i am in my late 20s an love to hit a note or 2 singing .,i am in my 20s .
yeah my girlfriend is definitely spoiled . what do you like to do .,i love my girlfriend .
i have a garden .,i enjoy growing my own food .
i like to watch golf and tennis on tv .,i enjoy watching tennis and golf on tv .
i am currently a nursing student . do you like your career ?,"i am still a student , but i am gonna be a nurse ."
i am a linebacker for the baltimore ravens .,the name of my team is the baltimore ravens .
"yes , it is great , about animals rights groups , i also donate to them .",i love animals .
i am good . i just got back from the coffee shop . i needed my morning cup .,i need caffeine to exist .
"i also donate to thrift stores , where i find stephen king books .",my favorite author is stephen king .
awesome ! my desk i wrote is a sleek black desk its my fav color .,my favorite color is black .
i like hard rock .,i like to hear hard rock .
i was hoping you would say that . i want to exercise more .,sometimes i think i should get out and exercise more .
cool ! me too i have a masters degree in business adminstration .,i have an mba degree .
we lived in the gulf coast before my parents divorced .,my parents are divorced .
we are saying i do in the central valley .,my wedding is set for april 11 .
"yes , i do . being 25 i am busy in general . the military keeps my real busy .",i am 25 years old .
i really enjoy making short films .,i like to make short films .
do you like art at all .,i enjoy things of an artistic nature .
i like the summer too since that is when we play the most bingo .,i play bingo every wednesday with my husband .
my hair is red and curly . i want to get another tattoo .,"i have curly , red hair ."
that must get a lot of funny looks ! my dog loves car rides !,"lina , my greyhound , is a source of constant affection ."
"i do but limited , i am a music freak and enjoy festivals .",i enjoy going to festivals .
yes ! i have seen many ghosts in my lifetime .,i believe in ghosts and have seen them on several occasions .
oh well you are young i have 1 a rose on my ankle .,i have a rose tattooed on my right ankle .
good luck with that . get a pair of nike shoes they are the best man .,i just bought a new pair of sneakers and they feel great .
"no , they do not care about the neighborhood . i did call the ambulance though .",my neighborhood can get loud late .
i am in ohio . do you live in the city ? i have never really been to the city . . .,i have never been to the city .
no i teach at a catholic private school .,i teach elementary school children at a private school .
"good , same here , my best friend lives in a big city and i just visted with him .",my best friend lives in a big city .
i am going to enjoy swimming in the lake . do you swim ?,i like to swim in the lake .
i spend a lot of time inside studying because i am in medical school .,i am in my second year of medical school .
"nice ! i partake in the nfl fantasy football league , you ?",i play in a nfl fantasy football league .
every day have i drive an hour to work in this terrible traffic .,every day i drive an hour to work in this horrible traffic .
"what is the world coming to , i am going back to the circus .",i work in a circus as a juggler .
"i love fairs , they have the best fried chicken !",my favorite food is fried chicken .
my partner totally does not understand .,i only need to be with my partner .
i am going to a concert tonight . i go to 10 a year .,i go to at least 10 concerts a year .
"keep going ! running is what i really like though , i run and like it !",i like to run .
"hang out with family . . i enjoy that . also , i buy all my clothes at american eagle .",my favorite store is american eagle .
i love living close to the water .,i enjoy the water .
wow . i have a friend who loves ballet . we share the same enthusiasm for nachos !,nachos are my favorite food .
i am well . just got home from my job at a coffee shop .,i work at a coffee shop .
"besides being a father , i herd cattle on my farm .",i own a small farm where i herd cattle .
nice . do you work long hours ?,i do not like working long hours .
that is nice . i am looking for a job . i am in marketing .,i am recent college graduate looking for a job in marketing .
yes studying is important . i studied hard at the university of north carolina .,i went to the university of north carolina .
"i love my dog , he is a collie .",my dog is a collie .
i m a wedding planner .,i am a wedding planner .
i play basketball for a professional basketball team .,i am a professional basketball player .
red is my favorite color what your color .,my favorite color is red .
i am very often eating take out .,i do not cook and usually eat out .
i love flowers .,"when the flowers bloom , i am in love ."
i enjoy fishing .,i enjoy ensnaring sea creatures and watching them suffocate in my bucket .
ah my power is being super gay .,i am gay .
i mostly listen to jazz .,i enjoy jazz music .
i cannot stand the heat .,i m not much of a fan of hot weather .
nice ! i got full sleeve tattoos both arms . you got any tattoos ?,i have two full sleeves of tattoos .
"mmm interesting choice but risky one , and i do not try to think about death .",i try not to think about death .
"no , i gave up meat when i moved to portland , oregon .","i live in portland , oregon ."
i enjoy budweiser beer .,i like to have a beer .
tea is cool . i like any kind of food except fast food .,i hate fast food .
even though i have no one to share with my thoughts i have found other bloggers .,i have none to share my thoughts about the books i read .
well defiantly not weather lol . i love being outside playing soccer .,i love a game where i can use my footwork .
that is sad my dad works for the new york times as a journalist .,my dad is journalist for the new york times .
anywhere that does not have french fries .,i also eat too much french fries .
i love reading . currently learning to read music and play piano .,i am learning how to play the piano .
nice i volunteer at dog shelters .,i volunteer at animal shelters .
i cannot be late . my art teacher is a b word .,i study art .
i love being on the outside standing while the rain falls .,i like standing in the rain .
i am from france and moved her 10 years ago .,i am planning to move to a new state soon .
i just sat down to eat something healthy after working out and carrots sounded really good . . . lol .,i hate carrots .
"my 3 children help me a lot , i like to put them to work !",i have three children .
"of course , i listen to it while cooking !",i love to cook .
i will be headed to paris on vacation to visit my sister .,i am traveling to paris this year for my vacation .
i just want to teach when i graduate after this program .,"i am in an education program , and hope to teach kindergarten when i graduate ."
"i am good ! just relaxing , here , listening to some metallica .",my favorite band is metallica .
"well , for starters , i have 5 children . we always have a house full of kids !",i am an artistic person .
i do not like coffee .,i cannot stand the smell or taste of java .
nice i love getting packages in the mail . . . feels like christmas opening them up .,i love christmas .
no but i enjoy walking in the park on campus .,i love walking in the park .
cool maybe you can help me make friends playing soccer in the fall .,"i like to play soccer , draw and read asterix ."
that sounds nice . i am practicing singing .,when i am alone i belt out the most beautiful songs .
"yea , my dad died too . he used to take me fishing .",my favorite activity is fishing .
i play music because my job is being a musician .,i am a musician .
"hello , i am a chef actually .",i am a chef .
"i cannot find any nice girls , that is why i stick to baseball .",i love baseball .
"at the piano , yes . i am also a very good swimmer and won matches .",i am a competitive swimmer .
"i enjoy baking and going on walks , what about you .",i like to bake .
i like warm colors .,i like cool colors .
i enjoy cooking and baking .,cooking is one of my pass times .
"spices , i love pizza too .",my favorite food is pizza .
"well , i am currently in college , home is in california .",i am from california .
thank goodness i married my man . he was there when i called 911 for my brain aneurysm .,i got married to my highschool friend .
you should try to exercise . it helps give you clarity .,i exercise regularly .
i m usually very shy .,my idea of flirting is to stare from a distance .
"yeah , but i do not watch them i hate the idea of acting .",i do not like acting .
how come ? my daughter just graduated from college .,my daughter just graduated college .
yeah . i am thinking about taking a trip because i love to travel .,i want to see the world .
"awesome , my wife left me recently because of that !",my wife just left me .
the story so far is my current favorite . i like colombian deep roast too .,my favorite band is the story so far .
i am a special ed teacher so that helps with the bills along with selling the cosmetics .,i am a special ed teacher .
my american dream is to be an actor . what is yours ?,i want to be a famous actor .
makes sense . i get all of my hobbies done at school . like reading history books .,i enjoy reading history books .
i love the beach .,i enjoy vacations at the beach .
"no , i need time for video games and fluffy , my iguana .",i love tomb raider and mario .
nope ! i also work at a grocery store and go to college part time .,i work at the grocery store .
i love yellow . i try to add it if clients want it .,my favorite color is yellow .
"same , same it is a very busy time for me .",i have a hard time moving on .
role playing games online and pizza .,my favorite food is pizza .
"comedy its about pickles , which i do not like !",i do not like pickles .
check out das boot . sorry but the farmers market is closing and i need some mangos .,i like to go to the farmers market every weekend .
what is your favorite food ? mine is veggie pizza .,pizza is my favorite .
"training is great fun . on fridays , i ride up to canada to explore scenic routes .",i spend the weekends travelling up to canada to relax and enjoy the view .
i am a student and i play soccer at my school .,i like soccer .
i hate dogs .,i am not a dog person .
alabama is nice . in currently residing in california .,i live in a house in california .
i am awesome at playing the guitar .,"i am a really , really good guitar player ."
good . just an average day for this average american youth . you ?,i am a average american youth .
vermont is where i live and is a great place to hike too .,i reside in the maple syrup state .
i make youtube videos for money .,i love youtube .
i don t drink alcohol .,i never have had alcohol in my life .
you should . darts billiards are fun too .,"i enjoy playing recreational games like cards , darts or billiards ."
i have one child only .,i have only one child .
i still love my cat despite all this .,i prefer felines .
i like to make websites that allow me to read the news .,i really enjoy reading the news .
yes they are with intimate outdoor settings i love nature .,i like nature .
i enjoy painting .,i am a painter of landscapes .
i am also a vet so i work around other pets every day .,i work as a vet .
that is great i like to go for drives in my car .,i love to drive my car .
"i love lizards , i used to have a firey orange bearded dragon !",i like lizards .
i can never understand that show . i must be too old for it .,i am an old woman .
i love teal and turquoise .,i am partial to shades of grass and teal .
science and living alone makes me want to go out more to meet friends .,i live alone .
i can . its still summer so i can hike to where you live if i have too .,i love to hike in the summer .
i play for the philadelphia eagles .,i am quarterback for the patriots .
i volunteer in my sons boy scout troop .,in my down hours i give my minutes to old folks in collectives .
currently i am in school to be a fashion designer . how about you ?,i am really in to fashion .
"i shop at stores with my coupons several time during the week , you ?",i shop several times a week .
oh very cool . i enjoy traveling but i think i would like to try that .,i love to travel .
i still stay with my parents .,i live with my parents .
i hope you enjoy it i am with my best friend a cat named bandit .,felines are my favorite pets .
"awe , i do not have dogs but i have a beautiful daughter .",i have a female child .
i like fast expensive cars .,i like fast cars .
i like to spend time drinking mediocre coffee .,as long as i have a cup of coffee in my hand i am a happy person .
i am 30 years old and live with my parents .,i am still living at home at age 30 .
"cool . i am a nerd , so i probably would not want to be on the news .",i am considered a nerd by many .
"hi there i am a huge animal fan , do you have animals .",i love animals .
"i play the violin , what about you ?",i play the violin .
cool . . . i am here listening to some of my old rock music .,rock music is my favorite .
do you post about your food on social media ?,i like every post i see on social media .
"vegetarian actually . i have some food allergies , but i wo not touch meat . you ?",i do not eat meat .
that sounds good . i only like meat honestly .,i could never be a vegetarian .
indian mountains and valleys . also their culture . i go often there .,i visit india often .
"hey , that is certainly enough , if it makes you happy ! i like video games .",i spend a lot of time using my xbox .
oh . . . my sister is gay not openly closet because of her career as an author .,my sister is a published author .
i live with my dad and brother who are serious meat and potato people .,i reside living with my father and bro .
hi . i am a bit older and already have two children .,my spouse and i have children .
and my dad wants me to be a dentist like him . i have such a headache .,my dad is a dentist and my mom is a teacher .
my mother owns a fashion brand . maybe you can work with her .,my mother has her own fashion brand .
i got to go work at the movie theater today .,i work in a movie theater .
i am a ceo .,i am a current resident in the united state .
ll nah i am in high school not into it .,i am in high school .
she has lots of them . she plays for the kids at the candy store i work for .,i work at a candy store .
seeing the globe is on my bucket list .,i hope to see the world with my husband .
i should do some of that . just chilling in my apartment .,i live in an apartment .
i am a well educated businessman .,i am a business man .
it sucks so bad . i am working at mcdonald and cannot afford my own car .,i currently work at mcdonald .
"this chat is so slow i could run the mile faster , did it under 4 minutes once .",i once ran the mile in under 4 minutes .
i just accepted a job at the elementary school in my hometown .,i have been working for many years .
yes because my favorite band is american eagle .,my favorite store is american eagle .
i work the graveyard shift in a hotel .,i work graveyard in a hotel .
i need music to be .,i am a musical person .
very nice . i am more of a temperance guy . but i am also into sports .,watching sports is fun .
"hello , i am okay now that i came inside , this weather is hard on allergies .",i have allergies .
yes i have on the gun range but i like gardening more .,lately i have been learning how to garden .
you will get there ! do you have meat a lot ? i try to limit for health reasons !,i try to limit how much meat i eat for health reasons .
i do like comedy but would rather go swimming .,i enjoy swimming .
i hate the taste of fish .,i am sick when i eat fish .
"i am looking for love , i will never stop . was the youngest of eight kids did not get enough love .",i never stop looking for love .
i like the sims . i just got the halloween expansion pack i love that holiday .,halloween is my favorite holiday .
i like reading and relaxing by the lake . i like men too .,i love to read and relax by the lake on the weekends .
a few . i like to go to concerts with my friends .,i love going to concerts .
"i wish i could travel , but being a full mother it is very hard .",i am always working as a mother .
yes we drink hot chocolate and curl up to a book on cold nights .,i drink hot chocolate during the winter .
oh my ! i am going to move from tx to az next month and its freaking me out !,i am planning to move to a new state soon .
wish i could but i am a busy dental assistant .,i work as a dental assistant in a ritzy part of town .
"nope , it does not help that i do not like christmas much .",christmas is not the most wonderful time of the year .
i like to cook different foods .,i enjoy cooking .
why do not you move to the city and get a cat . cats are great .,i love cats .
i play with my pet iguana . you have any pets ?,i have a pet iguana .
i am employed at mcdonald ! food is good .,i work at mcdonald .
"reading up about civil war theories , i am doing a reenactment next month .",i am a civil war reenactment participant .
i recently relocated for a position .,i have a professional job .
it was not me though . i do not eat cheese .,"i do not eat meat but eggs , cheese and milk are fine ."
i like to read a lot of books .,i would rather read a book than watch a movie .
i imagine it is ! i was going to grab some fast food on the way home .,i eat too much fast food .
then y should marry them i would marry justin bieber if i could .,my favorite singer is justin bieber .
i love dancing with the stars . anything with dancing and broadway tunes .,i like to sing broadway show tunes .
rap is totally my favorite y o .,i have a job as an it agent .
then i will need to bring out my cane while i move around the kitchen .,i use a cane to help me get around .
that is cool going to the casino later .,i sometimes spend too much money at the casino .
i enjoy rock of all types . classic rock is cool .,my favorite music genre is rock .
i am doing great . my dog bob says hi as well .,i have a dog named bob .
i like to drink on the weekends .,i enjoy beer and wine .
"i am a stocker , but i am too short to reach some of the shelves .",i am short .
true . i am also a feminist . a vegan as well .,i am a vegan .
"yes , that is exactly why she lives in the big city actually .",my best friend lives in a big city .
supreme with everything and a few spices of my own . i love pizza .,my favorite food is pizza .
i have to practice when i can i am getting very talented .,i have raw talent for this .
"yes , they could be . i know a good vegan restaurant we could go to after .",i m a vegan .
i enjoy shopping .,i love wearing name band clothing .
i m a school teacher .,i am an art teacher .
i will be there all week . sewing a different costume for each day .,i do not like animals .
i live on teh west coast with my boyfriend of 10 years .,i have been dating my boyfriend for over 10 years .
"my mother taught me to bake , she is a retired teacher .",my mother is a retired teacher .
hello . the traffic today was awful .,every day i drive an hour to work in this horrible traffic .
i like to ski .,i love to ski in the winter .
i m a simple man .,i am a simple man .
"cool ! i like to play hockey , its my favourite sport !",my favorite sport is hockey .
i have a tattoo of all my dogs on my arm .,i have 4 dogs and i spend all my time with them .
that s very impressive . must be expensive to go to school now .,i have been at the er forever .
i retired so i can spend more time with my husband and helping people .,i am a retired school teacher .
"i have a 4 , 3 , and 2 year old myself . they keep me busy .",i had to get used to moving a lot and seeing my dad once a year .
i have a mutt and a german shepard he is my police dog i am a cop .,i work as a police officer .
"i grew up in virginia , where did you grow up ?",we lived in virginia while i was growing up .
i am a true one person gal ! i only date my boyfriend .,i have had a boyfriend for 24 months .
it helps me with my sales as a sales man .,i love adventure that is why i have been a sales person all my life .
mainly games with cars . weird for a girl i know .,i am a girl who loves sports cars and video games .
from alabama but i am a yankee now . maine .,i grew up in alabama .
"hi there , i prefer to get my daily caffeine from mountain dew .",not a day goes by that i do not drink four mountain dews .
i am disabled too . i do civil war reenactments to pass the time .,i am a civil war reenactment participant .
my sister is in grade one . are you a student ?,my youngest sister is in first grade .
i work as an accountant to a prestige firm three months ago .,i got a job as an accountant 3 months ago .
i went shopping online and got a purse .,my purse has a picture of a skunk on it .
no i do not cook i do love to clean the house though .,i am afraid to leave the house .
yes and then i take naps in my princess bed .,i sleep in a princess bed .
"oh , nice . i graduated from law school about ten years ago .",i went to law school .
i have a dog . we go for long walks in the park .,i like to take my dog for long walks .
"unfortunately , i am allergic to fish , its just a favorite hobby . where do you like to eat ?",i eat fish all the time .
ever . i drink water . with my girlfriend .,i have a girlfriend of 7 years .
"i like it more when its warm , i like summer more than winter weather .",i prefer summer over winter .
yeah i need a second job though .,i am looking for a second job .
i like to ride my scooter .,i role my scooter to school .
i really love spending time with my mother . she used to be a teacher .,my mother was a teacher .
that is amazing ! i just work at a bank .,i work in a bank .
"i love cats too , my favorite is the russian blue .",my favorite color is blue .
"of course i do , they are all the colorful saltwater fish you see in nemo .",i share my thoughts online about owning a fish tank .
"that is cool . no shave november is coming up , and i got my beard ready early .",i have a beard .
i like to get drunk and grub .,saturday night i go drinking .
short order cook here . although i write romance novels on the side .,i enjoy erotic novels .
lol . i bet . i like cooking . were cooking at work today .,i like to cook .
i am still in elementary school . i missed a few years and got held back .,i am currently in elementary school .
my children are mostly grown .,i am a proud mother .
i enjoy hiking with my brothers .,i enjoy going on hikes .
music comes easy to me .,i learned piano at age 6 .
"very cool , i wish i could garden but i live in a small apartment .",i live in an apartment .
i wish to retire after six months and spend more time for it .,i plan to retire in 6 months .
"sounds fun , i am a bit too old for things like that .",my generation saw the world war .
i know . i keep trying veggies and fruit but its difficult .,i do not really like vegetables or fruit but i pretend .
oh i am sorry i am employed in a lab .,i work in a lab .
"yes i do ! but mcdonald always perks me . i have to let it go , but cannot .",my guilty pleasure is mcdonald .
i run two miles everyday .,i enjoy a good run .
"hi , i am tired from working my 3rd job i have had 3 jobs for 6 years .",i worked 3 jobs at the same time for more than 5 years .
i listen to charlie daniels .,my favorite musician in charlie daniels .
just 2 . they are nice company when i go fishing .,i enjoy killing sea creatures .
"married for 5 years , with only one child !",i have a young kid .
well the communist party is not well liked even in russia .,my father was a member of the communist party .
i keep an angel on my hip to remind me to eat right .,i have a tattoo of an angel on my hip .
its fun i mostly read books mostly books in a series i really enjoy them .,i like to read books that are in a series .
"awesome ! i live in ny city myself , in a small apartment with my cat 3 .",i study art .
"cool ! i have a sweet tooth , own 4 felines and just bought a new honda .",i drive a honda car .
i am sorry to hear that . i am feeling down because i am having problems with my marriage .,my spouse hates us .
